date.0,date.1,date.2,date.3,date.4,date.5,date.6,date.7,date.8
1987-01-16,16/01/1987,01/16/1987,"16th January, 1987","January 16th, 1987",1987/01/16,"January 16th, 1987",16-01-1987,16 Jan 1987
2008-10-05,05/10/2008,10/05/2008,"5th October, 2008","October 5th, 2008",2008/10/05,"October 5th, 2008",05-10-2008,05 Oct 2008
1944-07-31,31/07/1944,07/31/1944,"31st July, 1944","July 31st, 1944",1944/07/31,"July 31st, 1944",31-07-1944,31 Jul 1944
2015-11-01,01/11/2015,11/01/2015,"1st November, 2015","November 1st, 2015",2015/11/01,"November 1st, 2015",01-11-2015,01 Nov 2015
2084-07-23,23/07/2084,07/23/2084,"23rd July, 2084","July 23rd, 2084",2084/07/23,"July 23rd, 2084",23-07-2084,23 Jul 2084
1996-02-11,11/02/1996,02/11/1996,"11th February, 1996","February 11th, 1996",1996/02/11,"February 11th, 1996",11-02-1996,11 Feb 1996
1936-01-10,10/01/1936,01/10/1936,"10th January, 1936","January 10th, 1936",1936/01/10,"January 10th, 1936",10-01-1936,10 Jan 1936
2099-08-06,06/08/2099,08/06/2099,"6th August, 2099","August 6th, 2099",2099/08/06,"August 6th, 2099",06-08-2099,06 Aug 2099
1909-11-06,06/11/1909,11/06/1909,"6th November, 1909","November 6th, 1909",1909/11/06,"November 6th, 1909",06-11-1909,06 Nov 1909
1920-11-20,20/11/1920,11/20/1920,"20th November, 1920","November 20th, 1920",1920/11/20,"November 20th, 1920",20-11-1920,20 Nov 1920
1913-11-23,23/11/1913,11/23/1913,"23rd November, 1913","November 23rd, 1913",1913/11/23,"November 23rd, 1913",23-11-1913,23 Nov 1913
2096-08-06,06/08/2096,08/06/2096,"6th August, 2096","August 6th, 2096",2096/08/06,"August 6th, 2096",06-08-2096,06 Aug 2096
1988-06-29,29/06/1988,06/29/1988,"29th June, 1988","June 29th, 1988",1988/06/29,"June 29th, 1988",29-06-1988,29 Jun 1988
1996-11-07,07/11/1996,11/07/1996,"7th November, 1996","November 7th, 1996",1996/11/07,"November 7th, 1996",07-11-1996,07 Nov 1996
1984-04-18,18/04/1984,04/18/1984,"18th April, 1984","April 18th, 1984",1984/04/18,"April 18th, 1984",18-04-1984,18 Apr 1984
2056-04-11,11/04/2056,04/11/2056,"11th April, 2056","April 11th, 2056",2056/04/11,"April 11th, 2056",11-04-2056,11 Apr 2056
1920-08-23,23/08/1920,08/23/1920,"23rd August, 1920","August 23rd, 1920",1920/08/23,"August 23rd, 1920",23-08-1920,23 Aug 1920
2039-08-02,02/08/2039,08/02/2039,"2nd August, 2039","August 2nd, 2039",2039/08/02,"August 2nd, 2039",02-08-2039,02 Aug 2039
2096-05-29,29/05/2096,05/29/2096,"29th May, 2096","May 29th, 2096",2096/05/29,"May 29th, 2096",29-05-2096,29 May 2096
1937-03-21,21/03/1937,03/21/1937,"21st March, 1937","March 21st, 1937",1937/03/21,"March 21st, 1937",21-03-1937,21 Mar 1937
2095-06-05,05/06/2095,06/05/2095,"5th June, 2095","June 5th, 2095",2095/06/05,"June 5th, 2095",05-06-2095,05 Jun 2095
1940-06-13,13/06/1940,06/13/1940,"13th June, 1940","June 13th, 1940",1940/06/13,"June 13th, 1940",13-06-1940,13 Jun 1940
1908-12-05,05/12/1908,12/05/1908,"5th December, 1908","December 5th, 1908",1908/12/05,"December 5th, 1908",05-12-1908,05 Dec 1908
1916-08-27,27/08/1916,08/27/1916,"27th August, 1916","August 27th, 1916",1916/08/27,"August 27th, 1916",27-08-1916,27 Aug 1916
1919-07-29,29/07/1919,07/29/1919,"29th July, 1919","July 29th, 1919",1919/07/29,"July 29th, 1919",29-07-1919,29 Jul 1919
2047-03-31,31/03/2047,03/31/2047,"31st March, 2047","March 31st, 2047",2047/03/31,"March 31st, 2047",31-03-2047,31 Mar 2047
1933-01-04,04/01/1933,01/04/1933,"4th January, 1933","January 4th, 1933",1933/01/04,"January 4th, 1933",04-01-1933,04 Jan 1933
1968-12-18,18/12/1968,12/18/1968,"18th December, 1968","December 18th, 1968",1968/12/18,"December 18th, 1968",18-12-1968,18 Dec 1968
1930-09-15,15/09/1930,09/15/1930,"15th September, 1930","September 15th, 1930",1930/09/15,"September 15th, 1930",15-09-1930,15 Sep 1930
1948-12-12,12/12/1948,12/12/1948,"12th December, 1948","December 12th, 1948",1948/12/12,"December 12th, 1948",12-12-1948,12 Dec 1948
2066-02-16,16/02/2066,02/16/2066,"16th February, 2066","February 16th, 2066",2066/02/16,"February 16th, 2066",16-02-2066,16 Feb 2066
2077-11-27,27/11/2077,11/27/2077,"27th November, 2077","November 27th, 2077",2077/11/27,"November 27th, 2077",27-11-2077,27 Nov 2077
1921-12-05,05/12/1921,12/05/1921,"5th December, 1921","December 5th, 1921",1921/12/05,"December 5th, 1921",05-12-1921,05 Dec 1921
1947-08-30,30/08/1947,08/30/1947,"30th August, 1947","August 30th, 1947",1947/08/30,"August 30th, 1947",30-08-1947,30 Aug 1947
1941-11-13,13/11/1941,11/13/1941,"13th November, 1941","November 13th, 1941",1941/11/13,"November 13th, 1941",13-11-1941,13 Nov 1941
2045-08-28,28/08/2045,08/28/2045,"28th August, 2045","August 28th, 2045",2045/08/28,"August 28th, 2045",28-08-2045,28 Aug 2045
2004-07-21,21/07/2004,07/21/2004,"21st July, 2004","July 21st, 2004",2004/07/21,"July 21st, 2004",21-07-2004,21 Jul 2004
2050-01-06,06/01/2050,01/06/2050,"6th January, 2050","January 6th, 2050",2050/01/06,"January 6th, 2050",06-01-2050,06 Jan 2050
1922-06-02,02/06/1922,06/02/1922,"2nd June, 1922","June 2nd, 1922",1922/06/02,"June 2nd, 1922",02-06-1922,02 Jun 1922
2073-06-03,03/06/2073,06/03/2073,"3rd June, 2073","June 3rd, 2073",2073/06/03,"June 3rd, 2073",03-06-2073,03 Jun 2073
1958-07-27,27/07/1958,07/27/1958,"27th July, 1958","July 27th, 1958",1958/07/27,"July 27th, 1958",27-07-1958,27 Jul 1958
2008-03-09,09/03/2008,03/09/2008,"9th March, 2008","March 9th, 2008",2008/03/09,"March 9th, 2008",09-03-2008,09 Mar 2008
1915-02-15,15/02/1915,02/15/1915,"15th February, 1915","February 15th, 1915",1915/02/15,"February 15th, 1915",15-02-1915,15 Feb 1915
2023-08-21,21/08/2023,08/21/2023,"21st August, 2023","August 21st, 2023",2023/08/21,"August 21st, 2023",21-08-2023,21 Aug 2023
1972-02-01,01/02/1972,02/01/1972,"1st February, 1972","February 1st, 1972",1972/02/01,"February 1st, 1972",01-02-1972,01 Feb 1972
2097-09-08,08/09/2097,09/08/2097,"8th September, 2097","September 8th, 2097",2097/09/08,"September 8th, 2097",08-09-2097,08 Sep 2097
1985-01-08,08/01/1985,01/08/1985,"8th January, 1985","January 8th, 1985",1985/01/08,"January 8th, 1985",08-01-1985,08 Jan 1985
1934-11-25,25/11/1934,11/25/1934,"25th November, 1934","November 25th, 1934",1934/11/25,"November 25th, 1934",25-11-1934,25 Nov 1934
1913-10-16,16/10/1913,10/16/1913,"16th October, 1913","October 16th, 1913",1913/10/16,"October 16th, 1913",16-10-1913,16 Oct 1913
1901-02-06,06/02/1901,02/06/1901,"6th February, 1901","February 6th, 1901",1901/02/06,"February 6th, 1901",06-02-1901,06 Feb 1901
1927-03-08,08/03/1927,03/08/1927,"8th March, 1927","March 8th, 1927",1927/03/08,"March 8th, 1927",08-03-1927,08 Mar 1927
2030-09-06,06/09/2030,09/06/2030,"6th September, 2030","September 6th, 2030",2030/09/06,"September 6th, 2030",06-09-2030,06 Sep 2030
2023-04-21,21/04/2023,04/21/2023,"21st April, 2023","April 21st, 2023",2023/04/21,"April 21st, 2023",21-04-2023,21 Apr 2023
2091-10-03,03/10/2091,10/03/2091,"3rd October, 2091","October 3rd, 2091",2091/10/03,"October 3rd, 2091",03-10-2091,03 Oct 2091
1955-04-23,23/04/1955,04/23/1955,"23rd April, 1955","April 23rd, 1955",1955/04/23,"April 23rd, 1955",23-04-1955,23 Apr 1955
1917-04-10,10/04/1917,04/10/1917,"10th April, 1917","April 10th, 1917",1917/04/10,"April 10th, 1917",10-04-1917,10 Apr 1917
1936-10-21,21/10/1936,10/21/1936,"21st October, 1936","October 21st, 1936",1936/10/21,"October 21st, 1936",21-10-1936,21 Oct 1936
2010-04-15,15/04/2010,04/15/2010,"15th April, 2010","April 15th, 2010",2010/04/15,"April 15th, 2010",15-04-2010,15 Apr 2010
2021-04-15,15/04/2021,04/15/2021,"15th April, 2021","April 15th, 2021",2021/04/15,"April 15th, 2021",15-04-2021,15 Apr 2021
2045-07-29,29/07/2045,07/29/2045,"29th July, 2045","July 29th, 2045",2045/07/29,"July 29th, 2045",29-07-2045,29 Jul 2045
2045-08-29,29/08/2045,08/29/2045,"29th August, 2045","August 29th, 2045",2045/08/29,"August 29th, 2045",29-08-2045,29 Aug 2045
1935-01-23,23/01/1935,01/23/1935,"23rd January, 1935","January 23rd, 1935",1935/01/23,"January 23rd, 1935",23-01-1935,23 Jan 1935
2027-05-08,08/05/2027,05/08/2027,"8th May, 2027","May 8th, 2027",2027/05/08,"May 8th, 2027",08-05-2027,08 May 2027
1992-10-28,28/10/1992,10/28/1992,"28th October, 1992","October 28th, 1992",1992/10/28,"October 28th, 1992",28-10-1992,28 Oct 1992
2052-11-23,23/11/2052,11/23/2052,"23rd November, 2052","November 23rd, 2052",2052/11/23,"November 23rd, 2052",23-11-2052,23 Nov 2052
2038-06-03,03/06/2038,06/03/2038,"3rd June, 2038","June 3rd, 2038",2038/06/03,"June 3rd, 2038",03-06-2038,03 Jun 2038
2077-03-08,08/03/2077,03/08/2077,"8th March, 2077","March 8th, 2077",2077/03/08,"March 8th, 2077",08-03-2077,08 Mar 2077
1955-10-17,17/10/1955,10/17/1955,"17th October, 1955","October 17th, 1955",1955/10/17,"October 17th, 1955",17-10-1955,17 Oct 1955
1910-07-03,03/07/1910,07/03/1910,"3rd July, 1910","July 3rd, 1910",1910/07/03,"July 3rd, 1910",03-07-1910,03 Jul 1910
2097-12-12,12/12/2097,12/12/2097,"12th December, 2097","December 12th, 2097",2097/12/12,"December 12th, 2097",12-12-2097,12 Dec 2097
2063-10-12,12/10/2063,10/12/2063,"12th October, 2063","October 12th, 2063",2063/10/12,"October 12th, 2063",12-10-2063,12 Oct 2063
1936-09-10,10/09/1936,09/10/1936,"10th September, 1936","September 10th, 1936",1936/09/10,"September 10th, 1936",10-09-1936,10 Sep 1936
2023-05-20,20/05/2023,05/20/2023,"20th May, 2023","May 20th, 2023",2023/05/20,"May 20th, 2023",20-05-2023,20 May 2023
2004-04-06,06/04/2004,04/06/2004,"6th April, 2004","April 6th, 2004",2004/04/06,"April 6th, 2004",06-04-2004,06 Apr 2004
1943-12-29,29/12/1943,12/29/1943,"29th December, 1943","December 29th, 1943",1943/12/29,"December 29th, 1943",29-12-1943,29 Dec 1943
1971-05-24,24/05/1971,05/24/1971,"24th May, 1971","May 24th, 1971",1971/05/24,"May 24th, 1971",24-05-1971,24 May 1971
1983-07-19,19/07/1983,07/19/1983,"19th July, 1983","July 19th, 1983",1983/07/19,"July 19th, 1983",19-07-1983,19 Jul 1983
1983-04-18,18/04/1983,04/18/1983,"18th April, 1983","April 18th, 1983",1983/04/18,"April 18th, 1983",18-04-1983,18 Apr 1983
1920-10-28,28/10/1920,10/28/1920,"28th October, 1920","October 28th, 1920",1920/10/28,"October 28th, 1920",28-10-1920,28 Oct 1920
1905-06-11,11/06/1905,06/11/1905,"11th June, 1905","June 11th, 1905",1905/06/11,"June 11th, 1905",11-06-1905,11 Jun 1905
1990-12-03,03/12/1990,12/03/1990,"3rd December, 1990","December 3rd, 1990",1990/12/03,"December 3rd, 1990",03-12-1990,03 Dec 1990
1945-07-23,23/07/1945,07/23/1945,"23rd July, 1945","July 23rd, 1945",1945/07/23,"July 23rd, 1945",23-07-1945,23 Jul 1945
2012-04-08,08/04/2012,04/08/2012,"8th April, 2012","April 8th, 2012",2012/04/08,"April 8th, 2012",08-04-2012,08 Apr 2012
1925-04-17,17/04/1925,04/17/1925,"17th April, 1925","April 17th, 1925",1925/04/17,"April 17th, 1925",17-04-1925,17 Apr 1925
1993-08-13,13/08/1993,08/13/1993,"13th August, 1993","August 13th, 1993",1993/08/13,"August 13th, 1993",13-08-1993,13 Aug 1993
2073-07-26,26/07/2073,07/26/2073,"26th July, 2073","July 26th, 2073",2073/07/26,"July 26th, 2073",26-07-2073,26 Jul 2073
1984-05-22,22/05/1984,05/22/1984,"22nd May, 1984","May 22nd, 1984",1984/05/22,"May 22nd, 1984",22-05-1984,22 May 1984
1943-10-27,27/10/1943,10/27/1943,"27th October, 1943","October 27th, 1943",1943/10/27,"October 27th, 1943",27-10-1943,27 Oct 1943
1935-08-07,07/08/1935,08/07/1935,"7th August, 1935","August 7th, 1935",1935/08/07,"August 7th, 1935",07-08-1935,07 Aug 1935
2078-06-02,02/06/2078,06/02/2078,"2nd June, 2078","June 2nd, 2078",2078/06/02,"June 2nd, 2078",02-06-2078,02 Jun 2078
2035-02-07,07/02/2035,02/07/2035,"7th February, 2035","February 7th, 2035",2035/02/07,"February 7th, 2035",07-02-2035,07 Feb 2035
2029-08-06,06/08/2029,08/06/2029,"6th August, 2029","August 6th, 2029",2029/08/06,"August 6th, 2029",06-08-2029,06 Aug 2029
1939-06-26,26/06/1939,06/26/1939,"26th June, 1939","June 26th, 1939",1939/06/26,"June 26th, 1939",26-06-1939,26 Jun 1939
2091-12-02,02/12/2091,12/02/2091,"2nd December, 2091","December 2nd, 2091",2091/12/02,"December 2nd, 2091",02-12-2091,02 Dec 2091
2096-08-15,15/08/2096,08/15/2096,"15th August, 2096","August 15th, 2096",2096/08/15,"August 15th, 2096",15-08-2096,15 Aug 2096
1992-11-01,01/11/1992,11/01/1992,"1st November, 1992","November 1st, 1992",1992/11/01,"November 1st, 1992",01-11-1992,01 Nov 1992
1954-01-07,07/01/1954,01/07/1954,"7th January, 1954","January 7th, 1954",1954/01/07,"January 7th, 1954",07-01-1954,07 Jan 1954
1932-08-24,24/08/1932,08/24/1932,"24th August, 1932","August 24th, 1932",1932/08/24,"August 24th, 1932",24-08-1932,24 Aug 1932
1906-08-11,11/08/1906,08/11/1906,"11th August, 1906","August 11th, 1906",1906/08/11,"August 11th, 1906",11-08-1906,11 Aug 1906
1953-06-13,13/06/1953,06/13/1953,"13th June, 1953","June 13th, 1953",1953/06/13,"June 13th, 1953",13-06-1953,13 Jun 1953
2013-05-30,30/05/2013,05/30/2013,"30th May, 2013","May 30th, 2013",2013/05/30,"May 30th, 2013",30-05-2013,30 May 2013
2031-09-27,27/09/2031,09/27/2031,"27th September, 2031","September 27th, 2031",2031/09/27,"September 27th, 2031",27-09-2031,27 Sep 2031
1930-09-05,05/09/1930,09/05/1930,"5th September, 1930","September 5th, 1930",1930/09/05,"September 5th, 1930",05-09-1930,05 Sep 1930
1967-04-02,02/04/1967,04/02/1967,"2nd April, 1967","April 2nd, 1967",1967/04/02,"April 2nd, 1967",02-04-1967,02 Apr 1967
2004-05-30,30/05/2004,05/30/2004,"30th May, 2004","May 30th, 2004",2004/05/30,"May 30th, 2004",30-05-2004,30 May 2004
2032-09-05,05/09/2032,09/05/2032,"5th September, 2032","September 5th, 2032",2032/09/05,"September 5th, 2032",05-09-2032,05 Sep 2032
2036-08-24,24/08/2036,08/24/2036,"24th August, 2036","August 24th, 2036",2036/08/24,"August 24th, 2036",24-08-2036,24 Aug 2036
2054-07-07,07/07/2054,07/07/2054,"7th July, 2054","July 7th, 2054",2054/07/07,"July 7th, 2054",07-07-2054,07 Jul 2054
2083-03-13,13/03/2083,03/13/2083,"13th March, 2083","March 13th, 2083",2083/03/13,"March 13th, 2083",13-03-2083,13 Mar 2083
1974-10-30,30/10/1974,10/30/1974,"30th October, 1974","October 30th, 1974",1974/10/30,"October 30th, 1974",30-10-1974,30 Oct 1974
1997-09-02,02/09/1997,09/02/1997,"2nd September, 1997","September 2nd, 1997",1997/09/02,"September 2nd, 1997",02-09-1997,02 Sep 1997
1951-07-15,15/07/1951,07/15/1951,"15th July, 1951","July 15th, 1951",1951/07/15,"July 15th, 1951",15-07-1951,15 Jul 1951
1922-09-07,07/09/1922,09/07/1922,"7th September, 1922","September 7th, 1922",1922/09/07,"September 7th, 1922",07-09-1922,07 Sep 1922
1974-07-15,15/07/1974,07/15/1974,"15th July, 1974","July 15th, 1974",1974/07/15,"July 15th, 1974",15-07-1974,15 Jul 1974
2033-01-04,04/01/2033,01/04/2033,"4th January, 2033","January 4th, 2033",2033/01/04,"January 4th, 2033",04-01-2033,04 Jan 2033
2033-01-21,21/01/2033,01/21/2033,"21st January, 2033","January 21st, 2033",2033/01/21,"January 21st, 2033",21-01-2033,21 Jan 2033
2020-03-17,17/03/2020,03/17/2020,"17th March, 2020","March 17th, 2020",2020/03/17,"March 17th, 2020",17-03-2020,17 Mar 2020
2052-03-08,08/03/2052,03/08/2052,"8th March, 2052","March 8th, 2052",2052/03/08,"March 8th, 2052",08-03-2052,08 Mar 2052
2022-12-10,10/12/2022,12/10/2022,"10th December, 2022","December 10th, 2022",2022/12/10,"December 10th, 2022",10-12-2022,10 Dec 2022
1989-11-30,30/11/1989,11/30/1989,"30th November, 1989","November 30th, 1989",1989/11/30,"November 30th, 1989",30-11-1989,30 Nov 1989
1996-07-21,21/07/1996,07/21/1996,"21st July, 1996","July 21st, 1996",1996/07/21,"July 21st, 1996",21-07-1996,21 Jul 1996
1912-12-01,01/12/1912,12/01/1912,"1st December, 1912","December 1st, 1912",1912/12/01,"December 1st, 1912",01-12-1912,01 Dec 1912
1900-12-11,11/12/1900,12/11/1900,"11th December, 1900","December 11th, 1900",1900/12/11,"December 11th, 1900",11-12-1900,11 Dec 1900
1949-03-20,20/03/1949,03/20/1949,"20th March, 1949","March 20th, 1949",1949/03/20,"March 20th, 1949",20-03-1949,20 Mar 1949
2056-02-18,18/02/2056,02/18/2056,"18th February, 2056","February 18th, 2056",2056/02/18,"February 18th, 2056",18-02-2056,18 Feb 2056
2054-11-23,23/11/2054,11/23/2054,"23rd November, 2054","November 23rd, 2054",2054/11/23,"November 23rd, 2054",23-11-2054,23 Nov 2054
2045-03-19,19/03/2045,03/19/2045,"19th March, 2045","March 19th, 2045",2045/03/19,"March 19th, 2045",19-03-2045,19 Mar 2045
2064-05-27,27/05/2064,05/27/2064,"27th May, 2064","May 27th, 2064",2064/05/27,"May 27th, 2064",27-05-2064,27 May 2064
2002-04-01,01/04/2002,04/01/2002,"1st April, 2002","April 1st, 2002",2002/04/01,"April 1st, 2002",01-04-2002,01 Apr 2002
2001-04-01,01/04/2001,04/01/2001,"1st April, 2001","April 1st, 2001",2001/04/01,"April 1st, 2001",01-04-2001,01 Apr 2001
1920-12-06,06/12/1920,12/06/1920,"6th December, 1920","December 6th, 1920",1920/12/06,"December 6th, 1920",06-12-1920,06 Dec 1920
1933-08-23,23/08/1933,08/23/1933,"23rd August, 1933","August 23rd, 1933",1933/08/23,"August 23rd, 1933",23-08-1933,23 Aug 1933
2082-03-13,13/03/2082,03/13/2082,"13th March, 2082","March 13th, 2082",2082/03/13,"March 13th, 2082",13-03-2082,13 Mar 2082
2018-04-02,02/04/2018,04/02/2018,"2nd April, 2018","April 2nd, 2018",2018/04/02,"April 2nd, 2018",02-04-2018,02 Apr 2018
1944-07-28,28/07/1944,07/28/1944,"28th July, 1944","July 28th, 1944",1944/07/28,"July 28th, 1944",28-07-1944,28 Jul 1944
1925-04-30,30/04/1925,04/30/1925,"30th April, 1925","April 30th, 1925",1925/04/30,"April 30th, 1925",30-04-1925,30 Apr 1925
2037-07-22,22/07/2037,07/22/2037,"22nd July, 2037","July 22nd, 2037",2037/07/22,"July 22nd, 2037",22-07-2037,22 Jul 2037
1916-06-26,26/06/1916,06/26/1916,"26th June, 1916","June 26th, 1916",1916/06/26,"June 26th, 1916",26-06-1916,26 Jun 1916
2035-02-06,06/02/2035,02/06/2035,"6th February, 2035","February 6th, 2035",2035/02/06,"February 6th, 2035",06-02-2035,06 Feb 2035
1988-12-12,12/12/1988,12/12/1988,"12th December, 1988","December 12th, 1988",1988/12/12,"December 12th, 1988",12-12-1988,12 Dec 1988
2011-04-03,03/04/2011,04/03/2011,"3rd April, 2011","April 3rd, 2011",2011/04/03,"April 3rd, 2011",03-04-2011,03 Apr 2011
2086-05-14,14/05/2086,05/14/2086,"14th May, 2086","May 14th, 2086",2086/05/14,"May 14th, 2086",14-05-2086,14 May 2086
2079-10-17,17/10/2079,10/17/2079,"17th October, 2079","October 17th, 2079",2079/10/17,"October 17th, 2079",17-10-2079,17 Oct 2079
1954-01-23,23/01/1954,01/23/1954,"23rd January, 1954","January 23rd, 1954",1954/01/23,"January 23rd, 1954",23-01-1954,23 Jan 1954
2078-01-03,03/01/2078,01/03/2078,"3rd January, 2078","January 3rd, 2078",2078/01/03,"January 3rd, 2078",03-01-2078,03 Jan 2078
1911-01-31,31/01/1911,01/31/1911,"31st January, 1911","January 31st, 1911",1911/01/31,"January 31st, 1911",31-01-1911,31 Jan 1911
2068-01-07,07/01/2068,01/07/2068,"7th January, 2068","January 7th, 2068",2068/01/07,"January 7th, 2068",07-01-2068,07 Jan 2068
2003-12-23,23/12/2003,12/23/2003,"23rd December, 2003","December 23rd, 2003",2003/12/23,"December 23rd, 2003",23-12-2003,23 Dec 2003
1955-03-26,26/03/1955,03/26/1955,"26th March, 1955","March 26th, 1955",1955/03/26,"March 26th, 1955",26-03-1955,26 Mar 1955
1909-12-10,10/12/1909,12/10/1909,"10th December, 1909","December 10th, 1909",1909/12/10,"December 10th, 1909",10-12-1909,10 Dec 1909
1935-03-14,14/03/1935,03/14/1935,"14th March, 1935","March 14th, 1935",1935/03/14,"March 14th, 1935",14-03-1935,14 Mar 1935
2085-04-26,26/04/2085,04/26/2085,"26th April, 2085","April 26th, 2085",2085/04/26,"April 26th, 2085",26-04-2085,26 Apr 2085
2031-12-30,30/12/2031,12/30/2031,"30th December, 2031","December 30th, 2031",2031/12/30,"December 30th, 2031",30-12-2031,30 Dec 2031
1974-10-21,21/10/1974,10/21/1974,"21st October, 1974","October 21st, 1974",1974/10/21,"October 21st, 1974",21-10-1974,21 Oct 1974
2043-07-29,29/07/2043,07/29/2043,"29th July, 2043","July 29th, 2043",2043/07/29,"July 29th, 2043",29-07-2043,29 Jul 2043
1913-06-21,21/06/1913,06/21/1913,"21st June, 1913","June 21st, 1913",1913/06/21,"June 21st, 1913",21-06-1913,21 Jun 1913
2035-05-12,12/05/2035,05/12/2035,"12th May, 2035","May 12th, 2035",2035/05/12,"May 12th, 2035",12-05-2035,12 May 2035
2042-12-01,01/12/2042,12/01/2042,"1st December, 2042","December 1st, 2042",2042/12/01,"December 1st, 2042",01-12-2042,01 Dec 2042
1990-05-02,02/05/1990,05/02/1990,"2nd May, 1990","May 2nd, 1990",1990/05/02,"May 2nd, 1990",02-05-1990,02 May 1990
1986-02-03,03/02/1986,02/03/1986,"3rd February, 1986","February 3rd, 1986",1986/02/03,"February 3rd, 1986",03-02-1986,03 Feb 1986
2047-07-23,23/07/2047,07/23/2047,"23rd July, 2047","July 23rd, 2047",2047/07/23,"July 23rd, 2047",23-07-2047,23 Jul 2047
1910-02-24,24/02/1910,02/24/1910,"24th February, 1910","February 24th, 1910",1910/02/24,"February 24th, 1910",24-02-1910,24 Feb 1910
2027-09-14,14/09/2027,09/14/2027,"14th September, 2027","September 14th, 2027",2027/09/14,"September 14th, 2027",14-09-2027,14 Sep 2027
1905-08-20,20/08/1905,08/20/1905,"20th August, 1905","August 20th, 1905",1905/08/20,"August 20th, 1905",20-08-1905,20 Aug 1905
1996-03-19,19/03/1996,03/19/1996,"19th March, 1996","March 19th, 1996",1996/03/19,"March 19th, 1996",19-03-1996,19 Mar 1996
1976-12-20,20/12/1976,12/20/1976,"20th December, 1976","December 20th, 1976",1976/12/20,"December 20th, 1976",20-12-1976,20 Dec 1976
2082-04-06,06/04/2082,04/06/2082,"6th April, 2082","April 6th, 2082",2082/04/06,"April 6th, 2082",06-04-2082,06 Apr 2082
1916-07-12,12/07/1916,07/12/1916,"12th July, 1916","July 12th, 1916",1916/07/12,"July 12th, 1916",12-07-1916,12 Jul 1916
2090-03-27,27/03/2090,03/27/2090,"27th March, 2090","March 27th, 2090",2090/03/27,"March 27th, 2090",27-03-2090,27 Mar 2090
1930-12-28,28/12/1930,12/28/1930,"28th December, 1930","December 28th, 1930",1930/12/28,"December 28th, 1930",28-12-1930,28 Dec 1930
1974-01-11,11/01/1974,01/11/1974,"11th January, 1974","January 11th, 1974",1974/01/11,"January 11th, 1974",11-01-1974,11 Jan 1974
2018-12-11,11/12/2018,12/11/2018,"11th December, 2018","December 11th, 2018",2018/12/11,"December 11th, 2018",11-12-2018,11 Dec 2018
1919-01-30,30/01/1919,01/30/1919,"30th January, 1919","January 30th, 1919",1919/01/30,"January 30th, 1919",30-01-1919,30 Jan 1919
2071-04-14,14/04/2071,04/14/2071,"14th April, 2071","April 14th, 2071",2071/04/14,"April 14th, 2071",14-04-2071,14 Apr 2071
