year,month,date,string
1928,September,9,"['09/09/1928', '1928-09-09', 'September 9th, 1928']"
2037,June,21,"['June 21st, 2037', '2037-06-21', '2037/06/21', '21st June, 2037', '21 Jun 2037']"
2061,May,11,"['2061-05-11', 'May 11th, 2061', '11th May, 2061', '11-05-2061']"
2032,December,13,"['13/12/2032', '13 Dec 2032', '13-12-2032', '13th December, 2032', 'December 13th, 2032', '2032/12/13']"
1995,March,17,"['17/03/1995', '17 Mar 1995', '03/17/1995', 'March 17th, 1995', '1995/03/17', '17th March, 1995', '1995-03-17']"
2046,February,18,"['02/18/2046', 'February 18th, 2046', '18-02-2046', '2046-02-18']"
2064,June,9,"['06/09/2064', '2064/06/09', '09/06/2064', '09-06-2064']"
2098,January,31,"['31 Jan 2098', '2098/01/31', '31-01-2098', '2098-01-31']"
2082,November,21,"['2082/11/21', '21 Nov 2082', '21st November, 2082']"
1909,December,11,"['1909-12-11', 'December 11th, 1909', '11/12/1909', '11-12-1909', '11th December, 1909', '11 Dec 1909', '12/11/1909', '1909/12/11']"
1913,June,6,"['06/06/1913', 'June 6th, 1913']"
1994,June,13,"['06/13/1994', 'June 13th, 1994', '13/06/1994', '1994/06/13', '13-06-1994', '13th June, 1994', '1994-06-13', '13 Jun 1994']"
2052,March,6,"['06 Mar 2052', '06-03-2052']"
1996,March,14,"['1996/03/14', '1996-03-14', '14/03/1996', '14th March, 1996', '14 Mar 1996']"
1998,December,12,"['1998/12/12', '12th December, 1998', '1998-12-12', '12/12/1998', '12-12-1998', 'December 12th, 1998', '12 Dec 1998', '12/12/1998']"
1902,July,1,"['07/01/1902', '1902/07/01']"
1980,July,29,"['1980/07/29', '1980-07-29', '29th July, 1980']"
1964,December,16,"['16th December, 1964', '1964-12-16', 'December 16th, 1964', '1964/12/16', '16-12-1964', '16/12/1964']"
1949,October,14,"['10/14/1949', '1949/10/14', '1949-10-14', '14th October, 1949', '14-10-1949', 'October 14th, 1949']"
2026,September,29,"['29-09-2026', '29 Sep 2026', '09/29/2026', 'September 29th, 2026', '2026/09/29', '29th September, 2026']"
1936,January,14,"['14/01/1936', '1936/01/14', 'January 14th, 1936', '14 Jan 1936', '14-01-1936', '14th January, 1936', '1936-01-14', '01/14/1936']"
1983,December,16,"['16/12/1983', '1983-12-16', '16th December, 1983', '16-12-1983', '1983/12/16', '16 Dec 1983']"
1997,October,9,"['10/09/1997', '1997/10/09', '1997-10-09', '09/10/1997', '09 Oct 1997', '9th October, 1997', 'October 9th, 1997', '09-10-1997']"
1979,September,30,"['1979/09/30', '30-09-1979', '30th September, 1979', '30 Sep 1979', '30/09/1979', '1979-09-30', '09/30/1979']"
1950,November,15,"['15 Nov 1950', '1950/11/15', '11/15/1950', '1950-11-15']"
2018,June,29,"['29/06/2018', '2018/06/29', '29 Jun 2018', '29-06-2018', '2018-06-29']"
1932,February,13,"['13 Feb 1932', '13th February, 1932', '13/02/1932', '1932-02-13', 'February 13th, 1932', '02/13/1932']"
2051,January,19,"['2051-01-19', '01/19/2051', '19th January, 2051', 'January 19th, 2051', '19/01/2051']"
2078,July,23,"['2078/07/23', '23rd July, 2078', '2078-07-23', '07/23/2078', 'July 23rd, 2078', '23 Jul 2078', '23-07-2078']"
1997,February,22,['1997-02-22']
2048,November,9,"['2048-11-09', '09 Nov 2048', '09/11/2048', '9th November, 2048', 'November 9th, 2048', '11/09/2048', '09-11-2048']"
1931,December,17,"['12/17/1931', '1931/12/17']"
2022,June,24,['24-06-2022']
1931,March,19,"['1931/03/19', 'March 19th, 1931']"
1928,January,16,"['16-01-1928', '1928-01-16', 'January 16th, 1928', '1928/01/16', '16th January, 1928', '16/01/1928', '16 Jan 1928']"
1924,June,17,"['17-06-1924', '1924-06-17']"
2095,June,9,"['09/06/2095', '09 Jun 2095', '9th June, 2095', '2095/06/09', '09-06-2095', '06/09/2095', 'June 9th, 2095', '2095-06-09']"
1921,June,17,"['17-06-1921', 'June 17th, 1921', '17/06/1921', '17 Jun 1921', '17th June, 1921', '06/17/1921', '1921/06/17']"
1925,April,30,['30-04-1925']
1938,June,28,"['28 Jun 1938', '1938-06-28', '06/28/1938', '28th June, 1938', '28/06/1938']"
1949,December,14,"['December 14th, 1949', '1949-12-14', '12/14/1949', '14 Dec 1949', '14-12-1949', '14th December, 1949', '1949/12/14', '14/12/1949']"
2097,June,14,"['2097/06/14', '14-06-2097', '2097-06-14']"
2051,March,31,"['2051-03-31', '31-03-2051', '31 Mar 2051']"
2092,February,16,"['16th February, 2092', '2092-02-16', 'February 16th, 2092', '2092/02/16', '16-02-2092']"
1913,July,18,"['07/18/1913', 'July 18th, 1913']"
1962,August,19,"['19th August, 1962', '19/08/1962', '19 Aug 1962', '1962/08/19', '19-08-1962']"
2065,June,28,"['June 28th, 2065']"
1939,May,18,"['18 May 1939', '18-05-1939', '18/05/1939', '05/18/1939', '1939/05/18', '1939-05-18', 'May 18th, 1939']"
1964,January,15,"['1964/01/15', '15-01-1964', 'January 15th, 1964', '01/15/1964', '15th January, 1964', '15/01/1964', '15 Jan 1964', '1964-01-15']"
1980,November,17,"['November 17th, 1980', '11/17/1980']"
1909,August,4,"['04 Aug 1909', '1909-08-04']"
2045,June,21,"['June 21st, 2045', '21/06/2045', '2045/06/21', '21 Jun 2045']"
1902,July,9,"['July 9th, 1902', '07/09/1902', '1902/07/09', '9th July, 1902']"
1978,June,12,"['12-06-1978', '12th June, 1978', '06/12/1978', 'June 12th, 1978']"
1939,May,27,"['1939-05-27', '1939/05/27']"
2065,May,18,"['18/05/2065', 'May 18th, 2065', '05/18/2065', '2065-05-18', '2065/05/18', '18 May 2065']"
2080,July,10,"['July 10th, 2080', '10 Jul 2080', '2080-07-10', '10-07-2080', '07/10/2080', '10th July, 2080']"
1993,July,17,"['17/07/1993', '1993/07/17']"
1987,April,2,['02/04/1987']
2016,December,11,"['December 11th, 2016', '11 Dec 2016', '11th December, 2016', '12/11/2016', '2016-12-11', '2016/12/11']"
1955,April,23,['1955-04-23']
1960,April,26,"['April 26th, 1960', '1960-04-26', '26/04/1960', '26 Apr 1960', '26-04-1960']"
1905,February,20,"['20th February, 1905', '20/02/1905', '20-02-1905', '02/20/1905', '1905/02/20']"
1966,August,27,"['August 27th, 1966', '27/08/1966', '27-08-1966', '08/27/1966']"
1981,September,1,"['09/01/1981', '01-09-1981', '01/09/1981', '1981/09/01', 'September 1st, 1981', '1981-09-01', '1st September, 1981']"
2094,January,29,"['29th January, 2094']"
2074,June,7,"['07-06-2074', '2074/06/07', 'June 7th, 2074', '2074-06-07', '07 Jun 2074', '7th June, 2074']"
2063,November,6,['2063-11-06']
2020,April,10,"['10/04/2020', '10th April, 2020', '10-04-2020']"
1904,November,9,"['9th November, 1904', '09 Nov 1904', '1904/11/09']"
2053,May,4,"['2053-05-04', '04-05-2053']"
2054,July,6,"['6th July, 2054', 'July 6th, 2054', '06 Jul 2054']"
2063,April,15,"['15/04/2063', 'April 15th, 2063', '15-04-2063', '2063/04/15', '15th April, 2063', '2063-04-15', '15 Apr 2063', '04/15/2063']"
2000,May,15,"['15-05-2000', '15 May 2000']"
2095,May,18,"['18 May 2095', '18/05/2095', 'May 18th, 2095', '18th May, 2095', '05/18/2095', '2095-05-18', '18-05-2095']"
2098,June,22,"['06/22/2098', '2098/06/22', '22 Jun 2098', '22-06-2098', '22nd June, 2098']"
1940,March,11,"['1940/03/11', 'March 11th, 1940', '11 Mar 1940', '03/11/1940', '11-03-1940', '11th March, 1940']"
1908,December,26,"['26th December, 1908', '26 Dec 1908']"
1941,October,21,"['21 Oct 1941', 'October 21st, 1941', '1941/10/21', '10/21/1941', '21/10/1941']"
2095,August,19,"['2095-08-19', '2095/08/19', '08/19/2095', 'August 19th, 2095', '19th August, 2095', '19-08-2095', '19/08/2095']"
2004,June,30,"['30 Jun 2004', '30-06-2004', '2004-06-30', '30th June, 2004']"
1970,January,23,['1970-01-23']
2044,May,1,"['01-05-2044', 'May 1st, 2044', '2044-05-01', '01/05/2044', '2044/05/01', '1st May, 2044', '01 May 2044', '05/01/2044']"
1999,October,1,"['1st October, 1999', '01-10-1999', '10/01/1999', '1999/10/01', '01 Oct 1999', '01/10/1999', '1999-10-01']"
2058,April,18,"['2058/04/18', '04/18/2058', '18th April, 2058', '18-04-2058', '18 Apr 2058', 'April 18th, 2058', '2058-04-18']"
2016,May,22,"['22-05-2016', '22/05/2016', '05/22/2016', '22nd May, 2016', '2016-05-22', 'May 22nd, 2016']"
2059,May,26,"['26-05-2059', '2059/05/26', '26th May, 2059', '26 May 2059', '05/26/2059', '26/05/2059', 'May 26th, 2059', '2059-05-26']"
2015,March,10,"['2015-03-10', '10/03/2015', '10-03-2015', '03/10/2015', '10th March, 2015']"
2031,August,28,"['2031/08/28', '28/08/2031', '28 Aug 2031', '28th August, 2031', 'August 28th, 2031', '08/28/2031']"
2016,February,26,"['02/26/2016', '26 Feb 2016', '2016/02/26', '2016-02-26', '26th February, 2016', '26/02/2016']"
2029,April,6,"['2029-04-06', '6th April, 2029', '04/06/2029', '2029/04/06', '06 Apr 2029']"
1973,April,6,['06-04-1973']
1979,May,9,"['09-05-1979', '09 May 1979', '1979/05/09']"
2002,February,14,"['02/14/2002', 'February 14th, 2002', '14-02-2002', '2002/02/14', '14/02/2002']"
1921,January,21,"['21st January, 1921', '21-01-1921']"
2001,January,21,"['21 Jan 2001', '01/21/2001']"
2027,September,11,"['September 11th, 2027']"
2042,November,16,"['16/11/2042', '2042-11-16', '2042/11/16', 'November 16th, 2042']"
2014,December,29,"['29 Dec 2014', '29-12-2014', '2014/12/29', '29/12/2014', 'December 29th, 2014', '2014-12-29']"
2085,April,18,"['April 18th, 2085', '2085-04-18', '18-04-2085', '18th April, 2085', '2085/04/18', '18/04/2085']"
2004,April,28,"['28 Apr 2004', '28/04/2004', '2004/04/28']"
2045,May,27,"['27/05/2045', '27th May, 2045', '27-05-2045', '27 May 2045', 'May 27th, 2045']"
2078,May,31,"['05/31/2078', '31-05-2078', '2078-05-31', '31 May 2078', '31/05/2078', 'May 31st, 2078', '31st May, 2078']"
2060,October,28,"['28-10-2060', '2060/10/28', 'October 28th, 2060', '28th October, 2060', '10/28/2060', '28/10/2060']"
2019,April,4,"['2019-04-04', '04/04/2019', 'April 4th, 2019', '04/04/2019', '04 Apr 2019']"
2021,November,29,"['2021/11/29', 'November 29th, 2021', '11/29/2021', '29 Nov 2021', '2021-11-29']"
2003,December,11,"['11/12/2003', '11th December, 2003', '2003/12/11', '11-12-2003', '12/11/2003', '2003-12-11', '11 Dec 2003', 'December 11th, 2003']"
2030,February,23,"['23/02/2030', '23-02-2030', '2030/02/23', '2030-02-23']"
1957,September,22,"['22nd September, 1957', '22/09/1957', '1957/09/22', 'September 22nd, 1957', '22 Sep 1957']"
1911,October,23,"['23-10-1911', 'October 23rd, 1911', '1911/10/23', '23rd October, 1911', '1911-10-23', '10/23/1911', '23 Oct 1911', '23/10/1911']"
2002,May,27,"['May 27th, 2002']"
1901,February,6,['06/02/1901']
2073,October,31,['31/10/2073']
1997,May,4,"['04/05/1997', '04-05-1997', '04 May 1997', '05/04/1997', '1997-05-04', '4th May, 1997']"
2037,March,11,"['11-03-2037', '2037-03-11', '11 Mar 2037', '11th March, 2037', '2037/03/11', '11/03/2037', '03/11/2037']"
1975,November,17,['1975-11-17']
2024,April,18,"['2024-04-18', '18th April, 2024', '18 Apr 2024', 'April 18th, 2024']"
1974,March,24,['24-03-1974']
2096,May,15,"['2096/05/15', '15th May, 2096', '15-05-2096', '2096-05-15']"
1948,September,13,"['September 13th, 1948', '09/13/1948', '13-09-1948', '13/09/1948', '1948/09/13', '13 Sep 1948', '1948-09-13']"
2088,October,6,"['2088-10-06', '2088/10/06', '06/10/2088', 'October 6th, 2088', '6th October, 2088']"
1924,July,26,"['July 26th, 1924', '26-07-1924', '26 Jul 1924', '26/07/1924']"
2082,August,28,"['28th August, 2082', '28-08-2082', 'August 28th, 2082']"
2098,July,9,"['09/07/2098', '07/09/2098', '9th July, 2098', '2098-07-09', '2098/07/09', '09 Jul 2098']"
1989,December,22,"['12/22/1989', '22-12-1989', '1989-12-22']"
2062,May,2,"['2062/05/02', '05/02/2062']"
2096,January,10,"['10th January, 2096', '10 Jan 2096', 'January 10th, 2096']"
1907,March,31,"['1907/03/31', 'March 31st, 1907', '31/03/1907']"
1965,June,11,"['11 Jun 1965', '11-06-1965', 'June 11th, 1965', '11th June, 1965']"
1972,May,3,"['1972-05-03', '1972/05/03', '05/03/1972', '03-05-1972', '03/05/1972', '3rd May, 1972', '03 May 1972']"
2006,July,26,"['07/26/2006', '26-07-2006', '26 Jul 2006']"
1999,June,11,"['June 11th, 1999', '11/06/1999', '06/11/1999', '11-06-1999', '1999-06-11', '11 Jun 1999', '11th June, 1999', '1999/06/11']"
1971,July,24,"['24 Jul 1971', '1971/07/24']"
2021,September,24,"['24 Sep 2021', '2021/09/24', '2021-09-24', 'September 24th, 2021']"
1902,August,6,"['06/08/1902', '08/06/1902']"
2083,November,4,['04-11-2083']
2010,November,2,"['02 Nov 2010', '11/02/2010', 'November 2nd, 2010', '2010-11-02']"
1960,December,31,"['31st December, 1960']"
2053,February,27,"['27/02/2053', '27-02-2053', '27th February, 2053', '2053-02-27']"
1954,January,24,"['24th January, 1954', '1954-01-24', '1954/01/24']"
2020,August,21,"['August 21st, 2020', '2020-08-21', '21-08-2020', '21 Aug 2020']"
1973,May,17,"['05/17/1973', 'May 17th, 1973', '1973-05-17']"
2007,April,23,"['2007-04-23', '23rd April, 2007', '2007/04/23', '23-04-2007', '23/04/2007', '04/23/2007', 'April 23rd, 2007']"
2070,July,15,"['2070-07-15', '15-07-2070']"
1952,January,7,['1952-01-07']
2018,July,17,"['17/07/2018', '17 Jul 2018', 'July 17th, 2018', '2018/07/17', '17-07-2018', '17th July, 2018', '07/17/2018', '2018-07-17']"
1930,March,17,"['17/03/1930', '1930-03-17', '17-03-1930']"
1982,December,11,"['1982-12-11', '11th December, 1982', '11/12/1982', '11-12-1982', '12/11/1982']"
2042,May,21,"['May 21st, 2042', '2042/05/21', '2042-05-21', '21st May, 2042', '21/05/2042', '21 May 2042', '05/21/2042', '21-05-2042']"
2054,August,18,"['18th August, 2054', '08/18/2054', '2054-08-18', 'August 18th, 2054', '2054/08/18', '18 Aug 2054']"
2025,June,29,"['29 Jun 2025', '29th June, 2025', '29/06/2025', '06/29/2025']"
1922,February,12,"['1922-02-12', '12th February, 1922', '12 Feb 1922', '12/02/1922', 'February 12th, 1922', '1922/02/12', '12-02-1922']"
1936,January,21,"['1936-01-21', 'January 21st, 1936', '21-01-1936', '01/21/1936', '21/01/1936', '21st January, 1936', '1936/01/21', '21 Jan 1936']"
2085,October,24,"['24 Oct 2085', '24-10-2085', '2085/10/24', '24th October, 2085', '10/24/2085', 'October 24th, 2085', '2085-10-24']"
1943,May,4,"['4th May, 1943', '1943-05-04', '05/04/1943']"
2047,March,30,"['March 30th, 2047', '30th March, 2047', '2047/03/30', '30-03-2047', '03/30/2047', '30 Mar 2047', '30/03/2047']"
1990,September,25,"['September 25th, 1990', '25 Sep 1990', '25/09/1990', '1990-09-25', '25th September, 1990', '09/25/1990']"
1971,July,15,"['1971/07/15', '1971-07-15', '07/15/1971', '15 Jul 1971']"
1989,July,2,"['02-07-1989', '07/02/1989']"
2005,January,5,"['5th January, 2005']"
1992,October,30,"['10/30/1992', 'October 30th, 1992', '30-10-1992']"
2060,February,2,"['2060-02-02', '02-02-2060', 'February 2nd, 2060', '2nd February, 2060', '2060/02/02']"
1915,February,23,['1915/02/23']
1953,March,4,"['4th March, 1953', '04 Mar 1953', '04/03/1953']"
2099,March,25,"['2099-03-25', '25-03-2099', '25th March, 2099', 'March 25th, 2099']"
2084,August,15,"['15th August, 2084']"
2011,July,6,"['06 Jul 2011', '6th July, 2011', '07/06/2011', 'July 6th, 2011', '2011/07/06', '06-07-2011', '2011-07-06', '06/07/2011']"
2067,February,24,"['February 24th, 2067', '24/02/2067', '2067-02-24', '24th February, 2067', '2067/02/24', '24-02-2067', '02/24/2067']"
1907,May,14,"['14th May, 1907', '14-05-1907']"
2060,October,5,['05/10/2060']
1944,February,20,"['20/02/1944', '02/20/1944', '1944/02/20', 'February 20th, 1944']"
1955,October,1,"['01/10/1955', 'October 1st, 1955', '10/01/1955', '1955/10/01', '01 Oct 1955', '1st October, 1955', '01-10-1955', '1955-10-01']"
2082,April,21,"['04/21/2082', '2082-04-21', 'April 21st, 2082', '2082/04/21', '21-04-2082', '21/04/2082', '21 Apr 2082']"
2088,March,25,"['2088/03/25', '2088-03-25', 'March 25th, 2088', '25th March, 2088', '25-03-2088']"
2013,February,10,"['02/10/2013', '2013/02/10', '10/02/2013', 'February 10th, 2013', '10 Feb 2013', '2013-02-10']"
1961,June,24,"['June 24th, 1961', '24/06/1961', '1961-06-24', '24 Jun 1961', '1961/06/24']"
1967,October,12,"['1967-10-12', '10/12/1967', '1967/10/12', 'October 12th, 1967', '12 Oct 1967']"
1928,August,26,"['26 Aug 1928', '08/26/1928', '1928-08-26', 'August 26th, 1928', '1928/08/26', '26/08/1928', '26th August, 1928']"
2095,July,8,"['2095-07-08', '08-07-2095', '2095/07/08', '08 Jul 2095', '8th July, 2095', '07/08/2095']"
2094,July,16,"['16th July, 2094', '16-07-2094', 'July 16th, 2094']"
1941,November,13,"['November 13th, 1941']"
1965,December,16,"['1965/12/16', '16/12/1965', '16-12-1965', '12/16/1965', '16th December, 1965', '16 Dec 1965']"
2035,January,14,"['January 14th, 2035', '01/14/2035']"
1957,October,13,"['13th October, 1957', '13/10/1957', 'October 13th, 1957', '13-10-1957', '13 Oct 1957']"
1911,June,16,"['1911/06/16', '16th June, 1911']"
2071,January,29,"['29th January, 2071', '2071-01-29']"
1966,May,16,['16-05-1966']
1999,February,1,"['February 1st, 1999', '02/01/1999', '1999-02-01', '1999/02/01', '01-02-1999', '01 Feb 1999', '1st February, 1999']"
1961,May,24,"['1961-05-24', '24 May 1961']"
1967,June,1,"['01-06-1967', '01/06/1967']"
2060,November,4,"['11/04/2060', '04-11-2060', 'November 4th, 2060', '04 Nov 2060', '04/11/2060']"
1910,August,25,"['1910/08/25', '1910-08-25', '25/08/1910', '25-08-1910', '25th August, 1910', '25 Aug 1910', 'August 25th, 1910', '08/25/1910']"
2009,January,19,"['2009/01/19', '19 Jan 2009', '19/01/2009', '2009-01-19', 'January 19th, 2009', '19th January, 2009', '01/19/2009', '19-01-2009']"
1903,April,1,"['1903-04-01', '04/01/1903']"
2070,July,23,"['2070/07/23', '2070-07-23', '23/07/2070']"
1906,November,26,"['26th November, 1906', '26 Nov 1906']"
